BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
5,"","doi:10.1108/S2044-9968(2013)000006F011","Matias, Audeliz; Aird, Sheila M. & Wolf, David F.","Innovative Teaching Methods for Using Multimedia Maps to Engage Students at a Distance","",,,"","215-234",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S2044-9968%282013%29000006F011","Increasing Student Engagement and Retention using Multimedia Technologies: Video Annotation, Multimedia Applications, Videoconferencing and Transmedia Storytelling","13","","","","","","","","","","","","","","",""
5,"","doi:10.1108/S2043-052320150000007008","McQueen, David","CSR and New Battle Lines in Online PR War: A Case Study of the Energy Sector and its Discontents","",,,"","99-125",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S2043-052320150000007008","Corporate Social Responsibility in the Digital Age","11","","","","","","","","","","","","","","",""
7,"","doi:10.1108/14720701011021148","Midttun, Atle","Montesquieu for the twenty‐first century: factoring civil society and business into global governance","Corporate Governance: The international journal of business in society",10,1,"","97-109",2010,"",""," http://dx.doi.org/10.1108/14720701011021148 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/QRJ-01-2013-0001","Mishra, Pavitra; Gupta, Rajen & Bhatnagar, Jyotsna","Grounded theory research: Exploring work-family enrichment in an emerging economy","Qualitative Research Journal",14,3,"","289-306",2014,"",""," http://dx.doi.org/10.1108/QRJ-01-2013-0001 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/JPMD-06-2014-0008","Parker, Cathy; Ntounis, Nikos; Quin, Simon & Grime, Ian","High Street research agenda: identifying High Street research priorities","Journal of Place Management and Development",7,2,"","176-184",2014,"",""," http://dx.doi.org/10.1108/JPMD-06-2014-0008 
","","","","","","","","","","","","","","","","",""
5,"","doi:10.1108/S1745-8862(2013)0000008018","Ritvala, Tiina; Andersson, Per & Salmi, Asta","MNE and multiple embeddedness: A case study of MNE–NGO collaboration in saving the Baltic Sea","",,,"","293-321",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S1745-8862%282013%290000008018","International Business and Sustainable Development","17","","","","","","","","","","","","","","",""
7,"","doi:10.1108/QROM-08-2013-1172","Rolandsson, Bertil","Partnerships with the police – logics and strategies of justification","Qualitative Research in Organizations and Management: An International Journal",10,1,"","2-20",2015,"",""," http://dx.doi.org/10.1108/QROM-08-2013-1172 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/17410391111106301","Sajjad, Farhana; Lee, Habin; Kamal, Muhammad & Irani, Zahir","Workflow technology as an e‐participation tool to support policy‐making processes","Journal of Enterprise Information Management",24,2,"","197-212",2011,"",""," http://dx.doi.org/10.1108/17410391111106301 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/JHOM-12-2014-0202","Samorinha, Catarina; Lichon, Mateusz; Silva, Susana & Dent, Mike","User involvement in assisted reproductive technologies: England and Portugal","Journal of Health Organization and Management",29,5,"","582-594",2015,"","PMID: 26222878"," http://dx.doi.org/10.1108/JHOM-12-2014-0202 
","","","","","","","","","","","","","","","","",""
5,"","doi:10.1108/S0161-72302015000030A016","Silvius, Ray","Understanding Eurasian Integration and Contestation in the Post-Soviet Conjuncture: Lessons from Geopolitical Economy and Critical Historicism","",,,"","235-258",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S0161-72302015000030A016","Theoretical Engagements in Geopolitical Economy","13","","","","","","","","","","","","","","",""
7,"","doi:10.1108/MEQ-08-2013-0093","Sim, Yeong Liang & Putuhena, Frederik Josep","Green building technology initiatives to achieve construction quality and environmental sustainability in the construction industry in Malaysia","Management of Environmental Quality: An International Journal",26,2,"","233-249",2015,"",""," http://dx.doi.org/10.1108/MEQ-08-2013-0093 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/IJSHE-11-2013-0147","Soares, Nelson; Pereira, Luísa Dias; Ferreira, João; Conceição, Pedro & da Silva, Patrícia Pereira","Energy efficiency of higher education buildings: a case study","International Journal of Sustainability in Higher Education",16,5,"","669-691",2015,"",""," http://dx.doi.org/10.1108/IJSHE-11-2013-0147 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/SAMPJ-Oct-2012-0034","Solomon, Lauren & Nelson, Tim","Energy for Life – an evidence‐based approach to corporate citizenship","Sustainability Accounting, Management and Policy Journal",4,2,"","236-258",2013,"",""," http://dx.doi.org/10.1108/SAMPJ-Oct-2012-0034 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/JHOM-08-2012-0150","Støre-Valen, Marit; Larssen, Anne Kathrine & Bjørberg, Svein","Buildings’ impact on effective hospital services: The means of the property management role in Norwegian hospitals","Journal of Health Organization and Management",28,3,"","386-404",2014,"","PMID: 25080651"," http://dx.doi.org/10.1108/JHOM-08-2012-0150 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/09593841111137359","Thompson, Terrie Lynn","Work‐learning in informal online communities: evolving spaces","Information Technology \& People",24,2,"","184-196",2011,"",""," http://dx.doi.org/10.1108/09593841111137359 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/SD-09-2014-0110","Totterdill, Peter & Exton, Rosemary","Work and organisations in 2020: The future we want?","Strategic Direction",30,9,"","4-7",2014,"",""," http://dx.doi.org/10.1108/SD-09-2014-0110 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/00251740910929696","Walters, Geoff & Chadwick, Simon","Corporate citizenship in football: delivering strategic benefits through stakeholder engagement","Management Decision",47,1,"","51-66",2009,"",""," http://dx.doi.org/10.1108/00251740910929696 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/14754391011078054","Winston, Sally","Using technology to connect with people on employee engagement","Strategic HR Review",9,6,"","5-10",2010,"",""," http://dx.doi.org/10.1108/14754391011078054 
","","","","","","","","","","","","","","","","",""
